ORGANIZATION,DISCIPLINE,EXP_BUDGET,ANNUAL_AUD,YOUTH,ADDRESS,ADDRESS_2,CITY,ZIP,COUNTY,STATE
Saint Paul Public SchoolsArts project,Other,"$23,722",425,25,360 Colborne St,,Saint Paul,55102,Ramsey,MN
Calhoun Area Residents Action Group/CARAG,Visual Arts & Architecture,"$20,000",225,50,3612 Bryant Ave S,,Minneapolis,55409,Hennepin,MN
On Time Circus,Performing Arts,"$9,150",620,400,3617 Architect Ave,,Minneapolis,55418,Hennepin,MN
The Sleeping Child,Performing Arts,"$16,936",450,300,3617 Architect Ave,,Minneapolis,55418,Hennepin,MN
Carlyle Brown and Company,Performing Arts,"$49,840","2,200",200,3636 Columbus Ave S,,Minneapolis,55407,Hennepin,MN
38th and Chicago Business AssociationArts Project,Other,"$9,095",850,150,3641 Chicago Ave S,,Minneapolis,55407,Hennepin,MN
"Red Wing Brass Band, Inc./Sheldon Theatre Brass Band",Performing Arts,"$11,460","2,475",375,365 Oak Hill Dr,,Red Wing,55066,Goodhue,MN
Cracked Walnut,Literary & Arts,"$2,492",825,25,3660 38th Ave S,,Minneapolis,55406,Hennepin,MN
Bagley Area Arts Collaborative,Visual Arts & Architecture,"$7,905",224,20,36627 225th Ave,,Bagley,56621,Clearwater,MN
New London Arts and Culture Alliance,Arts Multipurpose,"$25,599",560,120,3666 NE 10TH AVE,PO Box C,Spicer,56288,Kandiyohi,MN
Minnesota Landscape Arboretum/Foundation,Other,"$12,090,372","464,252","28,250",3675 Arboretum Drive,,Chaska,55318,Carver,MN
Full Perspective Productions Ensemble,Media & Communications,"$12,500",250,0,3675 Independence Ave S,,Saint Louis Park,55426,Hennepin,MN
College of Saint Benedict,Arts Multipurpose,"$795,058","10,075","1,200",37 College Ave S,,Saint Joseph,56321,Stearns,MN
Museum of Lake Minnetonka/Steamboat Minnehaha,History,"$76,492",0,,37 Water Street,,Excelsior,55331,Hennepin,Mn
Jones Harrison ResidenceArts Project,Other,"$4,536",200,0,3700 Cedar Lake Ave,,Minneapolis,55416,Hennepin,MN
Saint Louis Park Historical Society ,History,"$12,999",200,100,3700 Monterey Drive,,Saint Louis Park,55416,Hennepin,MN
CAPI USA,Performing Arts,"$27,650","1,500",250,3702 Lake St E,,Minneapolis,55406,Hennepin,MN
Centro de Trabajadores Unidos en Lucha/CTULArts Project,Other,"$14,651",225,75,3715 Chicago Ave,,Minneapolis,55407,Hennepin,MN
Madame of the Arts,Arts Multipurpose,"$15,050",350,50,3728 Columbus Ave S,,Minneapolis,55407,Hennepin,MN
Gadfly Theatre Productions,Performing Arts,"$16,373",300,0,3730 Chicago Ave S,,Minneapolis,55407,Hennepin,MN
Other Tiger Productions,Performing Arts,"$53,000",800,100,3740 13th Ave S,,Minneapolis,55407,Hennepin,MN
Vets for Music,Performing Arts,"$20,250","1,750",250,3744 Gershwin Ave N,,Oakdale,55128,Washington,MN
Bollywood Dance Scene,Performing Arts,"$36,600","3,150",150,3748 Minnehaha Ave,PO Box 8634,Minneapolis,55408,Hennepin,MN
Tapestry Folkdance Center,Performing Arts,"$197,158 ",0,,3748 Minnehaha Avenue,Minneapolis MN,Minneapolis,55406-2668,Hennepin,MN
Chicago Avenue Fire Arts Center,Visual Arts & Architecture,"$281,801",400,100,3749 Chicago Ave,,Minneapolis,55407,Hennepin,MN
Saint Paul Neighborhood Network,Media & Communications,"$1,962,319",160,10,375 Jackson Street,Suite 250,Saint Paul,55101-1816,Ramsey,MN
Hmong Cultural Center of MN,Humanities,"$340,914","1,000",250,375 University Ave,,Saint Paul,55103,Ramsey,MN
Hamilton Ink Spot,Visual Arts & Architecture,"$28,000",750,250,375 Wabasha St N,,Saint Paul,55102,Ramsey,MN
"We Win Institute, Inc.",Arts Multipurpose,"$32,990",530,30,3751 17th Ave S,,Minneapolis,55407,Hennepin,MN
"Young Dance, Inc.",Performing Arts,"$148,723",175,145,3754 Pleasant Ave S,,Minneapolis,55409,Hennepin,MN
The Bakken Trio,Performing Arts,"$41,164",900,600,3754 Pleasant Ave S,,Minneapolis,55409,Hennepin,MN
Eagan Theater Company,Performing Arts,"$30,451",210,10,3795 Pilot Knob Rd,PO Box 21074,Eagan,55122,Dakota,MN
East Metro Symphony Orchestra,Performing Arts,"$35,100",810,60,380 Rivertown Dr,,Woodbury,55125,Washington,MN
Merrill Community Arts Center,Performing Arts,"$382,523","14,575","4,325",380 Rivertown Dr,,Woodbury,55125,Washington,MN
McLeod County Historical Society,History,"$212,775","4,000","1,000",380 School Rd NW,,Hutchinson,55350,McLeod,MN
Eagan Historical SocietyHistoric Eagan Town Hall,History,"$3,600","1,500",500,3805 Pilot Knob Road,,Eagan,55122,Dakota,MN
Public Art Saint Paul,Arts Multipurpose,"$662,098","401,500","114,975",381 Wabasha St N,,Saint Paul,55102,Ramsey,MN
City of Eagan Parks and Recreation,Arts Multipurpose,"$229,252",750,150,3830 Pilot Knob Rd,,Eagan,55122-1810,Dakota,MN
"Palmville Press and Publishing, Inc.",Literary & Arts,"$15,121","6,350",350,38331 150th St,,Wannaska,56761,Roseau,MN
Monkeybears Harmolodic Workshop,Performing Arts,"$22,298",250,0,3836 Pillsbury Ave S,,Minneapolis,55409,Hennepin,MN
Polk County Fair,Performing Arts,"$3,650",850,50,38666 105th Ave SE,,Fertile,56540,Polk,MN
Urban Arts Academy,Performing Arts,"$558,358",220,120,3901 Chicago Ave S,,Minneapolis,55407-2614,Hennepin,MN
"ARENA Dances, Inc./Mathew Janczewskis",Performing Arts,"$77,555","2,514","2,164",3901 Poplar Dr,,Minneapolis,55422,Hennepin,MN
"Northern Star Council, Boy Scouts of AmericaHistory Project",History,"$27,525",0,,393 Marshall Avenue,,Saint Paul,55102,Ramsey,MN
Sinclair Lewis Foundation,History,"$35,800",115,15,39336 Wild Rose Court,,Sauk Centre,56378,Stearns,MN
Lower Sioux Indian CommunityHistory Project,History,"$10,000",0,,39527 Reservation Highway 1,PO Box 308,Morton,56270,Redwood,MN
Lower Sioux Indian CommunityArts Project,Arts Multipurpose,"$69,714",500,100,39527 Reservation Hwy 1,,Morton,56270-0308,Redwood,MN
Rochester Art Center,Visual Arts & Architecture,"$1,271,584","30,200",200,40 Civic Center Dr SE,,Rochester,55904-3773,Olmsted,MN
Free Arts Minnesota,Arts Multipurpose,"$769,194",95,35,400 1st Ave N,,Minneapolis,55401,Hennepin,MN
Saint Cloud Arts Commission,Arts Multipurpose,"$39,550",255,50,400 2nd St S,,Saint Cloud,56301,Stearns,MN
Picasso Projects,Performing Arts,"$12,990",36,30,400 2nd St SE,,Minneapolis,55414,Hennepin,MN
Rochester Chamber Music Society,Performing Arts,"$26,457","1,270",143,400 5th Ave SW,PO Box 834,Rochester,55903-0834,Olmsted,MN
Minnesota State Academy for the BlindArts Project,Other,"$12,162",420,150,400 6th Ave SE,,Faribault,55021,Rice,MN
Hibbing Historical Society/Museum,History,"$6,804",0,,400 E 23rd St & 5th Ave E,,Hibbing,55746,Saint Louis,MN
Elk River Area Arts Alliance,Arts Multipurpose,"$162,995",30,0,400 Jackson Ave,,Elk River,55330,Sherburne,MN
Elk River Community Theatre,Performing Arts,"$48,969","9,000","5,000",400 Jackson St,,Elk River,55330,Sherburne,MN
Historic Saint Paul,History,"$184,408",0,,400 Landmark Center,75 West 5th Street,Saint Paul,55102,Ramsey,MN
Mora Public SchoolsCAPP,Other,"$21,460",680,480,400 Maple Ave E,,Mora,55051-1387,Kanabec,MN
Jerome Foundation INC,Other,"$1,429,202",0,,400 North Sibley Street # 125,,Saint Paul,55101,Ramsey,MN
Minnesota State Arts Board,Other,"$2,029,509",0,0,400 North Sibley Street #200,,Saint Paul,55101,Ramsey,MN
ElderCircleArts Project,Other,"$6,260",700,100,400 River Rd,,Grand Rapids,55744,Itasca,MN
Twin Cities Housing Development CorporationArts Project,Other,"$10,778",110,50,400 Selby Ave,,Saint Paul,55102,Ramsey,MN
Warming House,Performing Arts,"$77,195",500,50,4001 Bryant Ave S,,Minneapolis,55409,Hennepin,MN
ASH Sacred Arts,Performing Arts,"$6,250",250,50,4004 Standish Ave ,,Minneapolis,55407,Hennepin,MN
"Dakota City Heritage Village, Inc.",History,"$36,442",0,,4007 220th St W,PO Box 73,Farmington,55024,Dakota,MN
Lake Sylvia Suzuki Flute Institute,Performing Arts,"$3,910",145,55,401 Douglas Dr,,Buffalo,55313,Wright,MN
Heartland Concert Association,Performing Arts,"$28,014","2,020",525,401 Huntsinger Avenue,PO Box 43,Park Rapids,56470,Hubbard,MN
Ely Greenstone Public Art CommitteeHistory Project,History,"$15,981",0,,401 North Pioneer Road,,Ely,55731,St. Louis,MN
Greenbush Middle River School DistrictArts Project,Other,"$22,430","5,250",750,401 Park Ave,,Greenbush,56726-0070,Roseau,MN
Green Earth Players,Performing Arts,"$37,550 ","1,942",640,401 W Edgehill St,,Luverne,56156,Rock,MN
Heritage Education Commission,History,"$8,787",0,,4010 3 St S,,Moorhead,56560,Clay,MN
Minneapolis Art Lending Library,Visual Arts & Architecture,"$12,998",450,50,4018 Perry Ave N,,Minneapolis,55422,Hennepin,MN
Minnesota Valley Music Teachers Association,Performing Arts,"$2,550",259,62,402 1st Ave NW,,Arlington,55307,Sibley,MN
Wayzata Historical Society,History,"$32,164",0,,402 E Lake St,,Wayzata,55391,Hennepin,MN
20% Theatre Company Twin Cities,Performing Arts,"$125,547","3,100",100,4025 Cedar Ave S,,Minneapolis,55407,Hennepin,MN
Fosston Community Library and Arts Association,Arts Multipurpose,"$26,000","2,000",500,403 Foss Ave N,,Fosston,56542,Polk,MN
Prospect House and Civil War Museum,History,"$50,000","2,000",0,403 N Lake Ave,,Battle Lake,56515,Ottertail,MN
Redwood CountyArts Project,Other,"$5,091",499,425,403 South Mill Street,PO Box 130,Redwood Falls,56283,Redwood,MN
Red Lake Falls Public SchoolsArts Project,Other,"$3,803",550,150,404 Champagne Ave SW,,Red Lake Falls,56750,Red Lake,MN
Tower Soudan Historical Society,History,"$6,500",0,0,"404 Pine Street, PO Box 463",,Tower,55790,Statewide,MN
Avalon Educational Institute,Performing Arts,"$10,400",810,710,404 Superior St W,,Duluth,55805,St. Louis,MN
MacRostie Art Center,Visual Arts & Architecture,"$311,598","13,000","2,000",405 1st Ave NW,,Grand Rapids,55744-2617,Itasca,MN
Katherine E. Nash Gallery Regents of the U of M,Visual Arts & Architecture,"$206,226","28,000","14,000",405 21st Ave S,,Minneapolis,55455,Hennepin,MN
Chatfield Center for the Arts,Arts Multipurpose,"$65,038",225,75,405 Main St S,PO Box 451,Chatfield,55923,Olmsted,MN
Wits End Theatre,Performing Arts,$750,16,3,405 Main St S,PO Box 582,Chatfield,55923,Olmsted,MN
Grand Rapids Arts,Arts Multipurpose,"$5,200",220,20,405 Northwest 1st Avenue,PO Box 831,Grand Rapids,55744,Itasca,MN
Jazz at Studio Z,Performing Arts,"$16,000",450,50,4055 37th Ave S,,Minneapolis,55406,Hennepin,MN
Carlton County Historical Society/Foundation,History,"$17,675",600,100,406 Cloquet Ave,,Cloquet,55720,Carlton,MN
Nobles County Historical Society,History,"$20,065",0,,407 12th Street,Suite 2,Worthington,56187,Nobles,MN
Kennedy Community CenterArts Project,Other,"$6,975",350,50,408 Atlantic Ave N,,Kennedy,56733,Kittson,MN
Northfield Historical Society,History,"$267,520","25,000",,408 Division Street,,Northfield,55057,Rice,MN
Greater Twin Cities Youth Symphonies,Performing Arts,"$1,042,482","22,930","5,930",408 St Peter St,,Saint Paul,55102,Ramsey,MN
Saint Paul Chamber Orchestra Society,Performing Arts,"$10,094,560","126,056","18,920",408 St Peter St,,Saint Paul,55102-1497,Ramsey,MN
Saint Anthony Civic Orchestra,Performing Arts,"$7,750",540,40,4081 Foss Rd NE,,Saint Anthony,55421,Ramsey,MN
Rourke Art Gallery Museum,Visual Arts & Architecture,"$159,182","6,564","1,820",409 32nd Ave S,,Moorhead,56560,Clay,MN
Preston Area Arts Council,Visual Arts & Architecture,"$25,272",505,365,409 Preston St. NW,PO Box 317,Preston,55965,Fillmore,MN
Heritage Organization of Romanian Americans in Minnesota,History,"$27,013",45,,409 Springhill Road,,Vadnais Heights,55127,"Dakota, Hennepin, Ramsey",MN
Kulture Klub Collaborative,Arts Multipurpose,"$136,064",35,10,41 12th St N,,Minneapolis,55403-1325,Hennepin,MN
Pequana Playhouse,Performing Arts,"$9,610",375,100,410 3rd Ave S,,Baudette,56623,Lake of the Woods,MN
Lake of the Woods Art Guild,Visual Arts & Architecture,"$11,874",11,1,410 3rd Ave SE,PO Box 46,Baudette,56623,Lake of the Woods,MN
Kittson County 4 H,Arts Multipurpose,"$4,135",37,35,410 5th St S,,Hallock,56728,Kittson,MN
Rikudim,Performing Arts,"$26,400",250,50,410 Groveland Ave,,Minneapolis,55403,Hennepin,MN
Womans Club of MinneapolisHistory Project,History,"$11,800",0,,410 Oak Grove Street,,Minneapolis,55403,Hennepin,MN
Minnesota Philharmonic Orchestra,Performing Arts,"$55,285 ",0,,4101 Harriet Avenue,,Minneapolis,55409,Hennepin,MN
Camp Masala,Arts Multipurpose,"$31,959",200,90,4104 Park Ave S,,Minneapolis,55407,Hennepin,MN
Virginia Band Boosters,Performing Arts,"$35,047 ",0,,411 5th Ave. S,,Virginia,55792,St. Louis,MN
Four Humors Theater,Performing Arts,"$28,293","2,200",200,4110 39th Ave S,,Minneapolis,55406,Hennepin,MN
Saint Francis Public SchoolsArts Project,Other,"$21,740",420,0,4115 Ambassador,,Saint Francis,55070-9368,Anoka,MN
Minnesotas Historic Northwest,History,"$11,039",0,,412 Geary Avenue NE,,Bagley,56621,"Becker, Beltrami, Clay, Clearwater, Kittson, Lake of the Woods, Mahnomen, Marshall, Norman, Polk, Red Lake, Roseau, Pennington",MN
Voices of Hope Prison Choir,Performing Arts,"$10,165",160,0,4122 Blaisdell Ave,,Minneapolis,55409,Hennepin,MN
Green T Productions,Performing Arts,"$89,386",500,100,4125 23rd Ave S,,Minneapolis,55407,Hennepin,MN
Headwaters Science Center,Other,"$302,106","27,741","5,332",413 Beltrami Ave,,Bemidji,56601,Beltrami,MN
Moose Lake SchoolArts Project,Other,"$7,200","2,680",680,413 Birch Ave,,Moose Lake,55767,Carlton,MN
Art Shanty Projects,Arts Multipurpose,"$102,360","11,250",750,4135 West Lake Harriet Parkway,PO Box 18684,Minneapolis,55418,Hennepin,MN
Transatlantic Love Affair,Performing Arts,"$22,100","1,350",150,414 Edmund Ave,,Saint Paul,55103,Ramsey,MN
"Alexandria Senior Center, Inc.Arts Project",Other,"$13,170",146,0,414 Hawthorne St,,Alexandria,56308,Douglas,MN
Save the Northfield DepotHistory Project,History,"$4,300","11,000","1,000",414 Riley Dr.,,Northfield,55057,Rice,MN
Safe Haven Shelter for Battered WomenArts Project,Other,"$25,000",200,100,414 W. 1st St.,PO Box 3558,Duluth,55803,St. Louis,MN
Minnesota Bluegrass and Old Time Music Association,Performing Arts,"$358,169","8,500",500,4142 Upton Ave S,,Minneapolis,55416-0408,Dakota,MN
Marcy Open School Parent CouncilArts Project,Other,"$10,000",260,160,415 4th Ave SE,,Minneapolis,55414,Hennepin,MN
City of OsseoArts and History Projects,Arts Multipurpose,"$18,255","1,000",350,415 Central Ave,,Osseo,55369,Hennepin,MN
Henning Landmark Center,Arts Multipurpose,"$66,000",375,150,415 Douglas Ave,,Henning,56551,Otter Tail,MN
Sand Hill Settlement Historical Society,History,"$14,000",240,80,415 Riverside Ave,Box 166,Climax,56523,Polk,MN
Brainerd Public LibraryArts Project,Other,"$11,133",800,600,416 5th St S,,Brainerd,56401-3509,Crow Wing,MN
"Cedar Cultural Center, Inc.",Performing Arts,"$2,742,164",515,15,416 Cedar Ave S,,Minneapolis,55454,Hennepin,MN
United Cerebral Palsy,Other,"$18,531",40,32,4165 3rd St N,,Waite Park,56387,Stearns,MN
Pine Area People for the Arts,Arts Multipurpose,"$3,144",621,21,417 2nd St SW,,Pine Island,55963,Goodhue,MN
SOAR Regional Arts,Performing Arts,"$211,483","5,453","1,865",417 Butternut Ln SE,,Saint Michael,55376,Wright,MN
Arts on Superior,Arts Multipurpose,"$3,290",165,100,417 South Avenue,PO Box 185,Two Harbors,55616,Lake,MN
"Minnesota Brass, Inc.",Performing Arts,"$359,915","29,755","8,225",4177 Kaitlin Dr,PO Box 7341,Saint Paul,55127,Ramsey,MN
Great River Chorale,Performing Arts,"$114,696",755,180,418 41st Ave S,,Saint Cloud,56302,Stearns,MN
Red Wing Arts Association,Visual Arts & Architecture,"$146,376","17,500","1,000",418 Levee St,,Red Wing,55066-2333,Goodhue,MN
Cannon Arts Board,Arts Multipurpose,"$2,000",50,30,420 1st St SW,,Cannon Falls,55009,Goodhue,MN
Moorhead Community Access Television Corporation/Moorhead Access TV/Moorhead Community Access Media (MCAM),Media & Communications,"$27,533",0,0,420 Center Ave. Ste. 16,,Moorhead,56560,Clay,MN
Depot Preservation Alliance,History,"$9,042",545,35,420 Main Ave,PO Box 1238,Baudette,56623,Lake of the Woods,MN
"Lyric Arts Company of Anoka, Inc.",Performing Arts,"$1,111,700","20,576","2,413",420 Main St E,,Anoka,55303,Anoka,MN
GSR Fine Art Festival,Arts Multipurpose,"$10,730","1,700",400,420 N Minnesota Ave,,Saint Peter,56082,Nicollet,MN
City of Grand RapidsArts Project,Other,"$5,410",400,100,420 Pokegama Ave N,,Grand Rapids,55744,Itasca,MN
VINE Faith in Action/VINE Adult Community CenterArts Project,Other,"$6,190",120,0,421 Hickory St E,,Mankato,56001,Blue Earth,MN
Eagan Mens Chorus,Performing Arts,"$15,313",680,80,4210 Heine Strasse Rd,,Eagan,55122-1805,Dakota,MN
Asian Economic Development AssociationArts Project,Other,"$17,500",115,75,422 University Ave W Ste 14,,Saint Paul,55103,Ramsey,MN
Girl Friday Productions,Performing Arts,"$108,267","2,467",150,4221 17th Ave S,,Minneapolis,55407-3319,Hennepin,MN
Watonwan County Historical Society,History,"$61,878",0,,423 Dill Ave SW PO Box 126,,Madelia,56062-1315,Watonwan,MN
Ely Winter Festival,Arts Multipurpose,"$12,324","5,775",525,423 Sheridan St E,,Ely,55731,St. Louis,MN
Brave Community Theatre,Performing Arts,"$4,412",71,15,424 Broadway Ave N,,Spring Valley,55975,Fillmore,MN
Blue Earth County Historical Society/History Museum,History,"$269,448",0,,424 Warren Street,,Mankato,56001,Blue Earth,MN
Kevin Kling and Co.,Performing Arts,"$24,000",700,50,4240 Garfield Ave,,Minneapolis,55409,Hennepin,MN
Wisdom Dances,Performing Arts,"$11,430",900,100,4244 24th Ave S,,Minneapolis,55406,Hennepin,MN
Staples All Veterans and Community Park Association,Visual Arts & Architecture,"$12,500","4,350",850,425 4th St NE,,Staples,56479,Todd,MN
Hambone Music Festival,Performing Arts,"$31,891",826,51,426 2nd St SW,,Eyota,55934,Olmsted,MN
Region 2 Arts Council,Other,"$86,205",0,,426 Bemidji Avenue North,,Bemidji,56601-3139,Beltrami,MN
Pequot Lakes Area Historical Society,History,"$4,744",0,,4285 Tower Square,PO Box 493,Pequot Lakes ,56472,Crow Wing,MN
Japan American Society of Minnesota,Performing Arts,"$17,769",110,35,43 Main St SE,,Minneapolis,55414-1029,Hennepin,MN
Friends of the Bryant LibraryArts Project,Other,"$1,050",743,708,430 Main St S,,Sauk Centre,56378-1509,Stearns,MN
Leonardos Basement,Arts Multipurpose,"$352,151",515,295,4301 Nicollet Ave S,,Minneapolis,55409,Hennepin,MN
Twin Ports Choral Project,Performing Arts,"$21,250",700,200,4301 Superior St E,,Duluth,55804,St. Louis,MN
Nokomis East Neighborhood AssociationArts Project,Other,"$47,000","8,000","3,200",4313 54th St E,,Minneapolis,55417,Hennepin,MN
KAIROS ALIVE!,Performing Arts,"$294,606",575,50,4316 Upton Ave S,,Minneapolis,55410,Hennepin,MN
Border CrosSing,Performing Arts,"$28,300","2,400",800,4320 Upton Ave N,,Minneapolis,55412,Hennepin,MN
Twin Cities Jewish Chorale,Performing Arts,"$26,215","1,075",75,4330 Cedar Lake Rd,PO Box 16124,Saint Louis Park,55416,Hennepin,MN
Rimon The Minnesota Jewish Arts CouncilArts Project,Other,"$112,319",250,10,4330 Cedar Lake Rd S,,Saint Louis Park,55416,Hennepin,MN
Jewish Community Center of Greater Minneapolis Sabes,Performing Arts,"$94,093","1,225",25,4330 Cedar Lake Rd S,,Saint Louis Park,55416,Hennepin,MN
Jewish Historical Society of the Upper Midwest,History,"$104,556",0,,4330 Cedar Lake Road South,,Minneapolis,55416,Hennepin ,MN
Lyric Opera of the North,Performing Arts,"$327,505","18,680","15,230",4330 W. 1st Street,PO Box 462,Duluth,55801,St. Louis,MN
"Vega Productions, Inc.",Arts Multipurpose,"$149,896","1,100",100,4333 Colfax Ave S,,Minneapolis,55409,Hennepin,MN
Danger Boat Productions LLC/Theater of Public Policy,Performing Arts,"$180,102",480,0,4339 Blaisdell Ave,,Minneapolis,55409,Hennepin,MN
Brownbody,Performing Arts,"$111,543",950,250,434 Vadnais Lake Dr,,Vadnais Heights,55127,Ramsey,MN
